Name,Link,Category,Section,On server,Note,ModID,Availability,Server version
Useful Traders,https://mods.vintagestory.at/show/mod/19225,QoL,1.22,yes,available for 1.22 (installs on update),usefultraders,available,2.5.2
ImGui,https://mods.vintagestory.at/imgui,Misc.,1.22,yes,available for 1.22 (installs on update),imgui,available,1.2.7
Snowshoes - FORKED,https://mods.vintagestory.at/snowshoesforked,Utility,1.22,yes,available for 1.22 (installs on update),snowshoesforked,available,2.3.1
Sewing Commoner,https://mods.vintagestory.at/sewingcommoner,Crafting,1.22,yes,"outdated — no 1.22 or 1.21 build, won't be installed",sewingcommoner,outdated,1.0.0
Farseer,https://mods.vintagestory.at/show/mod/22371,Worldgen,1.22,yes,available for 1.22 (installs on update),farseer,available,1.4.0
Algernon's Terrain Sampler Lib,https://mods.vintagestory.at/algernonsterrainsampler,Library,1.22,yes,available for 1.22 (installs on update),algernonsterrainsampler,available,1.3.0
Expanded Foods: Meals Module 1.0.0-dev.5,https://mods.vintagestory.at/efmealsmodule,Food,1.22,yes,available for 1.22 (installs on update),efmealsmodule,available,1.0.0-dev.5
Expanded Foods: Chef's Tricks 1.0.0-dev.3,https://mods.vintagestory.at/efchefstricks,Food,1.22,yes,available for 1.22 (installs on update),efchefstricks,available,1.0.0-dev.3
Salty´s TrashBinned,https://mods.vintagestory.at/trashbinned,QoL,1.22,yes,available for 1.22 (installs on update),trashbinned,available,0.4.2
Composter [Finished],https://mods.vintagestory.at/composter,Utility,1.22,yes,available for 1.22 (installs on update),composter,available,1.2.2
Steelmaking Expanded,https://mods.vintagestory.at/smex,Technology,1.22,no,available for 1.22 (installs on update),smex,available,
Windmill Sail Fix,,Misc.,optional,,,windmillsailfix,available,2.0.0
Labeled Trunks,,Storage,1.22,yes,,labeledtrunk,available,1.1.11
Flowers & Mushrooms Cultivation,,Tweak,1.22,yes,custom mod — cultivate alchemy flowers and mushrooms in garden beds,floramycology,available,1.0.1
All Helve Workable,,Tweak,1.22,yes,custom build — makes all anvil recipes fully workable by the helve hammer (client+server),allhelveworkable,available,1.0.3
Electrical Progressive: Core,https://mods.vintagestory.at/show/mod/21786,Other,1.22,yes,,electricalprogressivecore,available,3.2.3
apegrapes,,Other,1.22,yes,,apegrapes,available,1.4.0
attributerenderinglibrary,,Other,1.22,yes,,attributerenderinglibrary,available,3.1.5
betterarrows,,Other,1.22,yes,,betterarrows,available,1.0.1
bettercrates,,Other,1.22,yes,,bettercrates,available,1.10.0
egocaribautomapmarkers,,Other,1.22,yes,,egocaribautomapmarkers,available,5.0.3
em,,Other,1.22,yes,,em,available,3.7.0
jsonpatcheslib,,Other,1.22,yes,,jsonpatcheslib,available,1.5.3
molds,,Other,1.22,yes,,molds,available,0.3.4
ndlwoodentorchholder,,Other,1.22,yes,,ndlwoodentorchholder,available,3.0.2
sandwich,,Other,1.22,yes,,sandwich,available,1.3.0
scaffolding,,Other,1.22,yes,,scaffolding,available,1.3.1
spinningwheel,,Other,1.22,yes,,spinningwheel,available,1.2.11
tstools,,Other,1.22,yes,,tstools,available,3.1.2
vsimgui,,Other,1.22,yes,,vsimgui,available,1.2.7
windowstoragelib,,Other,1.22,yes,,windowstoragelib,available,1.2.6
